Name,Sex,Age,10th,12th,Stream,IQ,General Test Score,Skill1,Skill2,Skill3,Skill4,Competetive Exam,Suggested Career
NAVEEN GARG,Female,20,79,91,Biology,107,66.2,Classroom Management,Food Presentation,Photography,Logical Thinking,No,Scientist/Researcher
JASMINE SAHNI,Male,20,74,93,Commerce,104,79.9,Public Speaking,Discipline,Public Speaking,Team Management,Yes,Software Developer
ABHISHEK S NAIR,Female,19,85,98,Maths,92,67.2,Subject Knowledge,Logical Thinking,Art,Discipline,No,Software Developer
SIDHANT THAPA,Female,19,98,76,Maths,99,93.6,Subject Knowledge,Medical Knowledge,Data Analysis,Painting,Yes,Scientist/Researcher
MD MAHFOOZUR RAHMAN,Male,19,99,90,Maths,92,83.0,Coding,Painting,Medical Knowledge,Public Speaking,Yes,Software Developer
ANJALI SAHU,Female,18,75,82,Maths,121,55.3,Menu Planning,Coding,Creativity,Classroom Management,No,No suitable match
HARLEEN KAUR,Female,19,81,78,Maths,135,59.5,Creativity,Leadership,Critical Thinking,Analytical Skills,No,Scientist/Researcher
SAHIL MAAN,Male,17,73,88,Commerce,83,67.1,Endurance,Coding,Problem Solving,Physical Fitness,No,Software Developer
NITIKA,Female,19,98,83,Biology,135,54.5,Leadership,Drawing,Music,Photography,No,No suitable match
GUNTAASH SINGH BRAR,Female,20,79,87,Maths,118,73.2,Research,Physical Fitness,Creativity,Sculpting,No,Scientist/Researcher
YUGANSHI,Female,19,77,81,Arts,119,60.3,Attention to Detail,Photography,Programming,Attention to Detail,No,Artist
Rohit Thakur,Female,18,70,87,Maths,120,79.0,Discipline,Empathy,Physical Fitness,Discipline,Yes,Doctor
SAURAV SINGH,Female,18,85,86,Maths,104,83.9,Painting,Physical Fitness,Sculpting,Drawing,Yes,Scientist/Researcher
SRISHTI KUMAR,Male,17,86,80,Maths,115,54.2,Sculpting,Problem Solving,Problem Solving,Patient Care,No,No suitable match
IROM BEBICHA DEVI,Male,18,96,99,Biology,118,54.4,Subject Knowledge,Curriculum Development,Coding,Critical Thinking,No,Teacher/Educator
ALISHA KAMBOJ,Female,19,85,86,Biology,95,53.1,Sports Skills,Painting,Endurance,Menu Planning,No,Software Developer
ANJNA DEVI,Male,20,83,89,Commerce,88,78.8,Cooking,Data Analysis,Art,Discipline,Yes,Athlete
ARSHDEEP SINGH,Male,18,85,84,Biology,126,65.2,Baking,Cooking,Medical Knowledge,Menu Planning,No,Software Developer
ABHISHEK S NAIR,Female,17,85,98,Maths,92,67.2,Subject Knowledge,Logical Thinking,Art,Discipline,No,Software Developer
BALARAM SASMAL,Female,19,81,89,Biology,109,56.8,Cooking,Empathy,Public Speaking,Analytical Skills,No,Scientist/Researcher
LAVANYA GOYAL,Male,17,93,77,Maths,124,51.9,Endurance,Data Analysis,Photography,Logical Thinking,No,Scientist/Researcher
SHIVALIKA,Male,18,72,86,Arts,106,98.9,Leadership,Research,Cooking,Classroom Management,Yes,Teacher/Educator
ANIMESH GHOSH,Male,18,89,77,Biology,117,78.7,Public Speaking,Research,Music,Subject Knowledge,Yes,Teacher/Educator
RAGAV SINGH,Male,17,98,99,Biology,107,85.7,Menu Planning,Physical Fitness,Analytical Skills,Food Presentation,Yes,Athlete
ITHAMSETTY PRAVALLIKA,Female,19,97,76,Arts,130,75.4,Public Speaking,Music,Analytical Skills,Patient Care,No,Artist
RAHUL MALIK,Female,18,84,75,Biology,108,68.1,Drawing,Determination,Medical Knowledge,Data Analysis,No,Scientist/Researcher
Harshit bhardwaj,Female,20,98,96,Maths,130,94.9,Creativity,Classroom Management,Mathematics,Patient Care,Yes,Software Developer
LOKESH YADAV,Male,18,86,98,Biology,104,62.5,Determination,Music,Data Analysis,Creativity,No,Scientist/Researcher
PRIYANKA KATAL,Male,19,77,97,Maths,134,89.1,Problem Solving,Curriculum Development,Photography,Painting,Yes,Athlete
LOVEPREET SINGH BUCK,Male,18,87,88,Maths,91,76.4,Programming,Sports Skills,Sports Skills,Leadership,No,Software Developer
DEEPAK,Female,17,78,81,Maths,96,87.9,Drawing,Team Management,Subject Knowledge,Teaching,Yes,Teacher/Educator
NEHA,Male,18,89,91,Arts,128,54.2,Classroom Management,Sports Skills,Leadership,Creativity,No,Teacher/Educator
SAHARSH KUMAR,Female,18,81,91,Commerce,96,51.4,Physical Fitness,Creativity,Coding,Classroom Management,No,Software Developer
ARYAN CHAWLA,Male,19,93,80,Commerce,100,67.9,Sports Skills,Discipline,Mathematics,Attention to Detail,No,No suitable match
MD ABDULLAH AL NAIM,Female,17,80,76,Commerce,127,82.3,Drawing,Creativity,Medical Knowledge,Medical Knowledge,Yes,Artist
RIYA,Male,19,86,99,Maths,109,88.9,Empathy,Art,Public Speaking,Empathy,Yes,Teacher/Educator
MILIND ,Male,18,95,87,Commerce,127,95.6,Teaching,Patient Care,Music,Art,Yes,Scientist/Researcher
PARVEEN,Female,20,81,81,Arts,91,62.3,Painting,Physical Fitness,Leadership,Research,No,Artist
TANIA DHIMAN,Male,18,84,90,Maths,87,65.3,Subject Knowledge,Empathy,Determination,Endurance,No,No suitable match
GAGAN GHAI,Female,19,81,86,Biology,81,90.4,Logical Thinking,Patient Care,Mathematics,Coding,Yes,No suitable match
HARPREET SINGH,Male,20,91,78,Biology,121,78.4,Sports Skills,Cooking,Critical Thinking,Problem Solving,Yes,Doctor
TANNU PRIYA,Female,19,85,96,Biology,136,87.8,Creativity,Medical Knowledge,Sports Skills,Mathematics,Yes,Scientist/Researcher
ANJALI RANI,Male,19,83,81,Biology,113,51.2,Medical Knowledge,Patient Care,Art,Classroom Management,No,Doctor
AMAN WADHWA,Male,17,99,95,Maths,92,70.1,Medical Knowledge,Patient Care,Classroom Management,Drawing,No,No suitable match
AJAY KUMAR SAINI,Male,20,75,98,Maths,126,89.3,Analytical Skills,Medical Knowledge,Painting,Endurance,Yes,Scientist/Researcher
PASSANG LHAMU GURUNG,Male,18,90,83,Arts,91,56.2,Sculpting,Baking,Data Analysis,Music,No,Artist
NIRAJ KUMAR,Male,19,92,93,Maths,117,89.4,Menu Planning,Leadership,Mathematics,Drawing,Yes,Software Developer
EAK NARAYAN DHAKAL,Male,18,71,88,Maths,116,98.4,Sports Skills,Art,Menu Planning,Determination,Yes,Doctor
AKASH KUMAR ,Female,17,84,86,Maths,113,78.6,Medical Knowledge,Research,Creativity,Menu Planning,Yes,No suitable match
NOLLEN RANGANAI MLAMBO,Male,17,97,95,Maths,130,71.9,Critical Thinking,Photography,Sports Skills,Leadership,No,Teacher/Educator
Meenakshi  Devi,Male,20,93,87,Commerce,93,57.0,Analytical Skills,Music,Empathy,Sports Skills,No,Athlete
AMITAB BALI,Female,17,70,78,Commerce,102,67.4,Photography,Leadership,Sculpting,Art,No,No suitable match
ANUSHKA CHAUDHARY,Female,17,78,96,Maths,96,84.2,Programming,Art,Music,Coding,Yes,Software Developer
DIVYA SHARMA,Male,18,77,99,Commerce,115,98.4,Creativity,Determination,Critical Thinking,Creativity,Yes,No suitable match
BISMILLAH JAN NOORI,Male,17,82,85,Maths,93,61.3,Drawing,Sculpting,Menu Planning,Medical Knowledge,No,No suitable match
MUSKAN CHAUHAN,Male,17,98,94,Arts,112,97.7,Programming,Patient Care,Public Speaking,Data Analysis,Yes,Teacher/Educator
FIZA RAI,Female,19,72,84,Commerce,128,96.8,Physical Fitness,Public Speaking,Critical Thinking,Curriculum Development,Yes,Teacher/Educator
Ashmita Saxena,Female,17,84,87,Commerce,130,84.5,Curriculum Development,Team Management,Cooking,Leadership,Yes,Teacher/Educator
Prince Kumar verma,Female,19,97,91,Biology,93,54.4,Drawing,Empathy,Subject Knowledge,Teaching,No,Teacher/Educator
AFSHAAN SHAFI,Male,17,90,81,Commerce,107,88.5,Photography,Menu Planning,Food Presentation,Food Presentation,Yes,Teacher/Educator
SHIVANI MILVANIYA,Male,17,96,80,Maths,104,69.5,Music,Logical Thinking,Empathy,Creativity,No,Software Developer
RUCHIR KUMAR,Male,20,94,75,Commerce,84,63.0,Endurance,Sculpting,Data Analysis,Discipline,No,Teacher/Educator
MEHAK CHAUHAN,Female,20,85,83,Maths,114,84.5,Attention to Detail,Empathy,Baking,Empathy,Yes,Chef
PANDEY RISHU RAJ,Male,19,71,79,Maths,101,81.7,Mathematics,Sports Skills,Music,Physical Fitness,Yes,Doctor
Yash Poriya,Female,17,77,79,Arts,92,61.5,Discipline,Problem Solving,Drawing,Food Presentation,No,Artist
Kanupriya ,Female,18,75,89,Arts,84,92.8,Curriculum Development,Drawing,Creativity,Sculpting,Yes,Artist
NANDINI UPADHYAY,Female,20,76,82,Maths,90,94.2,Baking,Programming,Mathematics,Photography,Yes,Software Developer
VENKAT KSE,Female,18,73,78,Arts,100,92.3,Subject Knowledge,Analytical Skills,Music,Curriculum Development,Yes,Teacher/Educator
VANSHIKA LAMBA,Male,20,73,77,Biology,140,79.9,Music,Painting,Painting,Mathematics,Yes,No suitable match
AKARSH KALSI,Female,20,90,88,Biology,127,90.8,Analytical Skills,Classroom Management,Problem Solving,Food Presentation,Yes,Scientist/Researcher
ANJALI SINGH,Male,17,81,80,Biology,110,80.3,Team Management,Mathematics,Empathy,Data Analysis,Yes,Scientist/Researcher
UNNATI BANSAL,Male,20,83,92,Arts,115,71.4,Art,Patient Care,Drawing,Cooking,No,Artist
AKSHAT JAWA,Female,18,99,91,Commerce,87,63.5,Sculpting,Analytical Skills,Food Presentation,Attention to Detail,No,No suitable match
SPARSH AGARWAL,Female,20,74,83,Biology,99,79.3,Physical Fitness,Problem Solving,Empathy,Baking,Yes,Doctor
PARSHANT KUMAR,Female,19,99,80,Arts,128,74.2,Sculpting,Music,Problem Solving,Sculpting,No,Artist
PRIKSHIT BHARDWAJ,Female,17,81,88,Arts,104,89.4,Mathematics,Empathy,Logical Thinking,Problem Solving,Yes,Artist
ANKIT KUMAR,Female,17,89,95,Maths,81,77.8,Discipline,Cooking,Logical Thinking,Mathematics,Yes,Software Developer
Vansh,Female,19,80,80,Maths,125,56.4,Subject Knowledge,Analytical Skills,Teaching,Leadership,No,Teacher/Educator
CHAHAT PATHAK,Female,19,89,92,Maths,121,76.6,Team Management,Discipline,Team Management,Art,Yes,Software Developer
SAKSHAM BHATIA,Male,19,70,79,Biology,80,63.2,Sports Skills,Problem Solving,Programming,Cooking,No,Software Developer
PRIYANKA,Female,20,89,76,Maths,84,82.2,Teaching,Sculpting,Patient Care,Coding,Yes,Software Developer
SIMER,Female,17,81,88,Maths,101,99.8,Sports Skills,Programming,Team Management,Research,Yes,Software Developer
ASHISH RATHI,Male,19,72,84,Maths,86,69.0,Art,Patient Care,Sculpting,Food Presentation,No,No suitable match
AYUSH CHAHAR,Female,20,70,80,Commerce,97,81.9,Teaching,Food Presentation,Team Management,Art,Yes,Software Developer
Vishwas shira,Male,19,85,94,Maths,109,77.9,Coding,Menu Planning,Curriculum Development,Mathematics,Yes,Software Developer
VIRAJ KAUSHIK,Female,18,99,86,Maths,100,81.6,Medical Knowledge,Coding,Medical Knowledge,Painting,Yes,Software Developer
DEEPAK KUMAR CHAURASIA,Female,18,83,97,Biology,95,50.8,Public Speaking,Leadership,Endurance,Food Presentation,No,Teacher/Educator
TANAY SHARMA,Male,17,97,81,Biology,118,81.5,Photography,Problem Solving,Painting,Mathematics,Yes,Scientist/Researcher
APARAJITA PATEL,Male,20,89,83,Maths,96,70.3,Public Speaking,Discipline,Public Speaking,Physical Fitness,No,Chef
SANT PARKASH SINGH,Female,18,93,83,Biology,135,79.3,Problem Solving,Critical Thinking,Curriculum Development,Teaching,Yes,Teacher/Educator
PRIYA PATEL,Female,18,94,95,Biology,135,85.5,Photography,Programming,Analytical Skills,Art,Yes,No suitable match
UMAR CHANDAIL,Female,20,89,86,Biology,105,56.8,Problem Solving,Programming,Medical Knowledge,Sculpting,No,Doctor
BHAVNEET,Female,19,88,75,Maths,125,62.1,Music,Menu Planning,Medical Knowledge,Subject Knowledge,No,Teacher/Educator
NAVITA KUMARI,Female,20,95,97,Commerce,134,96.2,Curriculum Development,Critical Thinking,Mathematics,Sports Skills,Yes,Software Developer
SULTAN SINGH,Male,19,92,93,Biology,96,77.4,Teaching,Determination,Determination,Determination,Yes,Teacher/Educator
SINGH VARUN SANJEEV ,Female,18,82,93,Maths,100,76.2,Food Presentation,Critical Thinking,Teaching,Painting,No,Teacher/Educator
PRITY MALLICK,Female,18,91,95,Maths,111,54.1,Sports Skills,Research,Leadership,Coding,No,Software Developer
Yamini,Female,18,83,96,Biology,92,68.9,Menu Planning,Coding,Attention to Detail,Attention to Detail,No,No suitable match
MONIKA KUDYAR ,Female,17,86,88,Maths,119,79.6,Art,Empathy,Mathematics,Empathy,Yes,Software Developer
MOHIT SHARMA,Female,17,77,87,Maths,80,55.5,Classroom Management,Teaching,Menu Planning,Sculpting,No,Teacher/Educator
ISHU DEVGUN,Female,17,72,95,Arts,86,90.7,Problem Solving,Classroom Management,Public Speaking,Subject Knowledge,Yes,Teacher/Educator
RUPANJANA MITRA,Male,20,94,89,Biology,98,95.2,Discipline,Sculpting,Medical Knowledge,Curriculum Development,Yes,Teacher/Educator
SANDEEPAN KOLAY,Male,18,81,96,Biology,102,61.6,Physical Fitness,Creativity,Subject Knowledge,Music,No,Teacher/Educator
AKSHAY SAROHA,Female,18,87,89,Biology,136,55.4,Drawing,Critical Thinking,Physical Fitness,Patient Care,No,Doctor
Tanisha Raj Sharma,Female,20,92,83,Arts,106,74.4,Classroom Management,Drawing,Problem Solving,Menu Planning,No,Artist
NISHANT RAJOTIA,Female,17,83,88,Commerce,91,58.0,Programming,Mathematics,Creativity,Logical Thinking,No,Software Developer
LALIT,Male,20,84,90,Maths,121,76.6,Drawing,Creativity,Creativity,Research,No,Scientist/Researcher
SWATI,Male,17,93,76,Maths,99,71.9,Art,Endurance,Logical Thinking,Teaching,No,Software Developer
Parul Sharma,Female,18,88,82,Commerce,96,89.8,Critical Thinking,Critical Thinking,Drawing,Food Presentation,Yes,No suitable match
KRISHAN GOYAL,Male,19,71,87,Maths,118,74.4,Leadership,Subject Knowledge,Leadership,Physical Fitness,No,Teacher/Educator
MALLIKA RANA,Male,17,88,79,Maths,120,85.8,Team Management,Painting,Patient Care,Coding,Yes,Software Developer
VIPUL SINGH,Male,18,85,98,Arts,101,53.7,Photography,Programming,Photography,Medical Knowledge,No,Artist
Deeptimayee Behera,Female,18,83,90,Maths,135,64.3,Leadership,Medical Knowledge,Team Management,Attention to Detail,No,Doctor
ANMOLPREET SINGH,Female,19,93,82,Maths,85,78.1,Programming,Art,Music,Attention to Detail,Yes,No suitable match
JASPREET KAUR,Female,18,86,97,Biology,90,62.3,Medical Knowledge,Public Speaking,Creativity,Food Presentation,No,Teacher/Educator
DIPANSHU SODHI,Male,18,80,87,Commerce,80,62.7,Creativity,Empathy,Team Management,Subject Knowledge,No,Software Developer
MOHD IQBAL,Male,17,94,92,Biology,112,79.6,Painting,Patient Care,Sports Skills,Sports Skills,Yes,Doctor
Rohan kumar,Male,17,73,90,Biology,86,77.6,Classroom Management,Curriculum Development,Creativity,Research,No,Teacher/Educator
AVINASH KOUR,Female,19,93,86,Arts,86,65.0,Team Management,Attention to Detail,Classroom Management,Subject Knowledge,No,Teacher/Educator
RAJ KUMAR,Male,19,84,79,Maths,91,80.4,Baking,Coding,Discipline,Classroom Management,Yes,Software Developer
HARSHDEEP SINGH  TAKHTER,Female,18,79,98,Commerce,123,99.2,Drawing,Attention to Detail,Team Management,Programming,Yes,Software Developer
REVANTH GOLI,Female,17,87,85,Commerce,99,92.9,Classroom Management,Drawing,Analytical Skills,Teaching,Yes,Teacher/Educator
JAIRATH MEHRA,Female,19,93,95,Maths,137,66.9,Endurance,Endurance,Medical Knowledge,Medical Knowledge,No,No suitable match
ADITYA AGGARWAL,Female,19,87,79,Commerce,100,68.5,Problem Solving,Mathematics,Critical Thinking,Critical Thinking,No,Software Developer
PALLAVI SHARMA,Male,20,77,84,Maths,131,82.1,Classroom Management,Critical Thinking,Coding,Curriculum Development,Yes,Teacher/Educator
SURAJ BAHADUR THAPA,Female,19,86,78,Biology,130,97.7,Endurance,Mathematics,Baking,Programming,Yes,Software Developer
AMISHA,Male,18,76,75,Commerce,110,91.1,Determination,Physical Fitness,Subject Knowledge,Data Analysis,Yes,Artist
SUHANI SINGH,Female,17,97,88,Maths,126,68.2,Creativity,Classroom Management,Discipline,Patient Care,No,Teacher/Educator
MONIKA CHOUDHARY,Male,19,72,95,Commerce,125,78.9,Physical Fitness,Drawing,Cooking,Menu Planning,Yes,No suitable match
ROBINPAUL,Female,20,77,83,Biology,86,65.7,Teaching,Music,Subject Knowledge,Data Analysis,No,Teacher/Educator
HARMANPREET SINGH,Female,17,86,78,Maths,111,50.3,Logical Thinking,Patient Care,Endurance,Endurance,No,Software Developer
ANANYA UBHAN,Female,19,75,81,Commerce,90,78.7,Research,Curriculum Development,Medical Knowledge,Art,No,Teacher/Educator
TARUN VERMA,Female,20,85,77,Biology,133,58.8,Baking,Critical Thinking,Analytical Skills,Analytical Skills,No,Scientist/Researcher
KARUNA,Female,19,88,93,Arts,111,98.0,Programming,Attention to Detail,Programming,Baking,Yes,No suitable match
MANPREET KAUR,Male,17,75,86,Maths,100,82.2,Logical Thinking,Coding,Coding,Analytical Skills,Yes,Software Developer
ABHISHEK RAJ,Male,17,93,76,Commerce,94,83.9,Mathematics,Leadership,Sculpting,Sports Skills,Yes,Software Developer
PANKAJ SHARMA,Female,17,96,92,Maths,113,63.5,Coding,Determination,Leadership,Creativity,No,Software Developer
HARJEET SINGH,Male,18,71,95,Commerce,95,71.3,Medical Knowledge,Menu Planning,Classroom Management,Curriculum Development,No,Teacher/Educator
GURLEEN,Female,19,80,97,Arts,101,59.5,Subject Knowledge,Sports Skills,Physical Fitness,Drawing,No,No suitable match
PRANJUL SHARMA,Female,18,74,84,Biology,140,53.4,Food Presentation,Programming,Programming,Logical Thinking,No,No suitable match
GURMAN KAUR,Female,17,97,82,Maths,119,79.8,Leadership,Logical Thinking,Public Speaking,Teaching,Yes,Teacher/Educator
SAHIL KUMAR,Male,20,71,97,Arts,92,76.0,Sculpting,Analytical Skills,Subject Knowledge,Subject Knowledge,No,Artist
M BHARATH,Male,19,92,82,Maths,84,50.4,Discipline,Creativity,Classroom Management,Research,No,Scientist/Researcher
GURPREET SINGH,Female,18,95,95,Biology,126,87.0,Problem Solving,Art,Logical Thinking,Subject Knowledge,Yes,Scientist/Researcher
MONEY NAGPAL,Female,19,82,82,Maths,80,97.4,Mathematics,Coding,Photography,Patient Care,Yes,Software Developer
NITIN MALIK,Male,20,82,96,Biology,87,89.1,Classroom Management,Curriculum Development,Baking,Drawing,Yes,Teacher/Educator
GUNVEEN KAUR,Male,18,96,82,Maths,83,62.4,Patient Care,Logical Thinking,Data Analysis,Data Analysis,No,Scientist/Researcher
MITHIL SAINI,Female,17,72,98,Maths,97,99.6,Music,Patient Care,Problem Solving,Photography,Yes,No suitable match
MADHU MANHAS,Male,18,89,81,Maths,130,73.4,Classroom Management,Team Management,Leadership,Sculpting,No,Teacher/Educator
AKASHDEEP SINGH,Female,19,87,88,Arts,125,91.4,Empathy,Menu Planning,Physical Fitness,Baking,Yes,No suitable match
REECHA GULERIA,Female,19,74,77,Biology,82,91.1,Baking,Patient Care,Public Speaking,Determination,Yes,Teacher/Educator
HARMANJOT KAUR,Female,19,95,76,Biology,84,93.5,Sculpting,Endurance,Programming,Medical Knowledge,Yes,Doctor
Joydeb Debnath,Male,19,99,92,Maths,140,81.3,Music,Programming,Determination,Creativity,Yes,Software Developer
LAVANYA GOYAL,Male,17,93,77,Maths,124,51.9,Endurance,Data Analysis,Photography,Logical Thinking,No,Scientist/Researcher
ANJALI,Female,18,82,82,Maths,124,97.4,Coding,Programming,Attention to Detail,Photography,Yes,Software Developer
AKARSH KALSI,Female,17,90,88,Biology,127,90.8,Analytical Skills,Classroom Management,Problem Solving,Food Presentation,Yes,Scientist/Researcher
SHIVANSHU SHARMA,Male,17,90,92,Maths,109,59.3,Data Analysis,Menu Planning,Programming,Discipline,No,Software Developer
ANJALI SHARMA,Male,17,88,76,Maths,81,71.7,Public Speaking,Attention to Detail,Logical Thinking,Physical Fitness,No,Software Developer
ARSHDEEP SINGH,Male,19,85,84,Biology,126,65.2,Baking,Cooking,Medical Knowledge,Menu Planning,No,Software Developer
DIVYANK SANDHU,Male,19,83,82,Commerce,113,67.4,Attention to Detail,Analytical Skills,Baking,Physical Fitness,No,Athlete
Shambhavi,Female,19,92,95,Maths,131,93.2,Patient Care,Menu Planning,Painting,Team Management,Yes,Software Developer
PRABLEEN KAUR,Male,18,76,83,Biology,116,77.2,Programming,Classroom Management,Cooking,Menu Planning,No,No suitable match
ANKIT  CHAHAL,Female,20,93,75,Arts,127,68.4,Attention to Detail,Attention to Detail,Discipline,Subject Knowledge,No,Teacher/Educator
ARYA SHANKAR MAHAPRASHASTA,Male,19,72,83,Maths,131,90.9,Baking,Programming,Team Management,Baking,Yes,Software Developer
DIVYA SHARMA,Male,18,77,99,Commerce,115,98.4,Creativity,Determination,Critical Thinking,Creativity,Yes,Athlete
KARAN DHAND,Female,19,90,86,Maths,93,75.2,Endurance,Critical Thinking,Music,Public Speaking,No,Teacher/Educator
JASRAJ SINGH,Female,19,87,99,Biology,81,93.3,Patient Care,Subject Knowledge,Menu Planning,Discipline,Yes,Teacher/Educator
ARYAN SHAANBIR SINGH GREWAL,Male,17,88,94,Arts,116,65.8,Medical Knowledge,Medical Knowledge,Teaching,Baking,No,Teacher/Educator
SUKHAMDEEP KAUR,Male,17,91,91,Arts,84,96.6,Discipline,Leadership,Curriculum Development,Programming,Yes,Teacher/Educator
SHAHEEN KAUR,Male,17,83,91,Commerce,137,56.8,Analytical Skills,Determination,Attention to Detail,Medical Knowledge,No,Chef
ATUL THAKUR,Male,18,83,89,Arts,118,73.2,Menu Planning,Team Management,Art,Coding,No,No suitable match
ROHIT PATEL,Female,20,82,91,Biology,87,56.3,Music,Baking,Drawing,Patient Care,No,Teacher/Educator
HARSHDEEP SINGH,Male,20,75,97,Commerce,114,72.6,Drawing,Creativity,Classroom Management,Public Speaking,No,Teacher/Educator
CHERRYL JAIN,Female,18,80,99,Maths,87,81.8,Logical Thinking,Teaching,Patient Care,Research,Yes,Scientist/Researcher
ANURAG BHIVAJI KALWALE,Male,19,93,79,Maths,81,81.2,Coding,Teaching,Critical Thinking,Sports Skills,Yes,Software Developer
SAFAA MEHBOOB,Male,18,94,80,Biology,110,77.5,Food Presentation,Programming,Discipline,Team Management,Yes,No suitable match
SANCHITA SINHA,Female,19,81,75,Maths,124,66.1,Teaching,Subject Knowledge,Research,Medical Knowledge,No,Teacher/Educator
MEHUL GUPTA,Male,18,93,81,Commerce,102,90.8,Baking,Discipline,Problem Solving,Sports Skills,Yes,No suitable match
ASEEM GUPTA,Female,18,77,87,Maths,96,58.8,Determination,Data Analysis,Painting,Logical Thinking,No,Scientist/Researcher
GYANESHWAR SINGH,Male,18,86,83,Biology,103,50.7,Logical Thinking,Leadership,Subject Knowledge,Sculpting,No,Teacher/Educator
GURSIMAR KAUR KALRA,Female,20,74,91,Biology,97,79.4,Music,Teaching,Painting,Teaching,Yes,Software Developer
SORABH SINGH,Male,17,85,87,Biology,105,73.1,Mathematics,Medical Knowledge,Food Presentation,Problem Solving,No,Scientist/Researcher
BRYAN YONESTA SITUMORANG,Female,18,85,93,Maths,95,77.3,Drawing,Medical Knowledge,Critical Thinking,Empathy,Yes,No suitable match
IMAMUL HUQUE,Male,20,85,82,Maths,101,51.7,Subject Knowledge,Medical Knowledge,Team Management,Creativity,No,Software Developer
MANJOT KAUR,Male,17,86,83,Maths,96,75.5,Patient Care,Team Management,Programming,Endurance,No,Software Developer
GURMAN KAUR,Female,17,97,82,Maths,119,79.8,Leadership,Logical Thinking,Public Speaking,Teaching,Yes,Teacher/Educator
 Anchal sharma,Female,18,93,84,Biology,122,54.5,Subject Knowledge,Programming,Problem Solving,Painting,No,No suitable match
AMRIT SINGH ANTAL,Male,19,78,76,Arts,136,85.4,Leadership,Public Speaking,Analytical Skills,Menu Planning,Yes,Teacher/Educator
JASPREET KOUR,Female,19,74,75,Biology,104,92.4,Discipline,Cooking,Problem Solving,Mathematics,Yes,Scientist/Researcher
LAKSHAY KHAPRA ,Male,19,72,75,Maths,131,76.7,Teaching,Analytical Skills,Coding,Attention to Detail,No,Software Developer
NUPUR NAGAR,Female,18,87,87,Biology,131,68.8,Teaching,Research,Food Presentation,Teaching,No,Scientist/Researcher
MOHAMMAD TARIQ ANSARI,Male,19,73,88,Maths,116,70.6,Painting,Painting,Physical Fitness,Coding,No,Software Developer
LAKSHAY SHARMA,Male,20,84,80,Maths,90,83.2,Analytical Skills,Menu Planning,Logical Thinking,Discipline,Yes,Scientist/Researcher
MOHAMMAD SAMIM JAHID ,Female,20,99,78,Maths,126,75.1,Menu Planning,Sculpting,Coding,Coding,No,Software Developer
PUNIT KUMAR TEOTHIA,Male,20,98,95,Maths,98,93.8,Patient Care,Empathy,Programming,Food Presentation,Yes,No suitable match
NANCY MALIK,Male,20,72,91,Biology,84,69.9,Photography,Medical Knowledge,Patient Care,Subject Knowledge,No,Doctor
SUHAIL KHAN,Male,17,88,86,Biology,101,94.3,Menu Planning,Photography,Physical Fitness,Food Presentation,Yes,No suitable match
BHUMIKA ,Male,20,97,99,Arts,87,78.1,Drawing,Music,Analytical Skills,Art,Yes,Artist
RITESH CHAUHAN,Female,19,77,85,Maths,128,82.9,Attention to Detail,Logical Thinking,Discipline,Analytical Skills,Yes,Scientist/Researcher
SHAURYA,Male,18,83,80,Maths,95,62.6,Mathematics,Patient Care,Painting,Physical Fitness,No,Software Developer
GOURAB KOLEY,Female,19,83,98,Maths,118,70.0,Determination,Curriculum Development,Medical Knowledge,Endurance,No,No suitable match
SHAMA,Female,20,88,94,Biology,128,86.4,Painting,Classroom Management,Programming,Medical Knowledge,Yes,Teacher/Educator
MEGHA,Male,17,70,88,Arts,88,90.5,Painting,Logical Thinking,Discipline,Curriculum Development,Yes,Artist
AVNEET KAUR,Female,20,80,95,Maths,116,97.7,Public Speaking,Problem Solving,Attention to Detail,Data Analysis,Yes,Scientist/Researcher
BANITA KUMARI,Female,18,93,78,Maths,98,69.3,Discipline,Painting,Logical Thinking,Data Analysis,No,Scientist/Researcher
NAVNEET KAUR,Female,19,91,94,Commerce,84,92.2,Curriculum Development,Drawing,Medical Knowledge,Food Presentation,Yes,Teacher/Educator
RAVI PRIYA SINGH,Male,18,72,93,Maths,113,79.0,Sculpting,Patient Care,Discipline,Creativity,Yes,No suitable match
KASHISH NANDA,Male,18,97,80,Maths,88,67.8,Medical Knowledge,Creativity,Creativity,Coding,No,Software Developer
ANANYA YADAV,Male,18,78,87,Maths,123,78.4,Logical Thinking,Music,Photography,Curriculum Development,Yes,No suitable match
SEJAL MEHENDIRATTA,Male,19,92,75,Maths,89,99.3,Classroom Management,Leadership,Physical Fitness,Determination,Yes,Teacher/Educator
AASHNA,Male,20,72,99,Biology,115,60.1,Art,Discipline,Medical Knowledge,Medical Knowledge,No,Doctor
GOURAB KOLEY,Female,18,83,98,Maths,118,70.0,Determination,Curriculum Development,Medical Knowledge,Endurance,No,Scientist/Researcher
PARUL BALLAGAN,Male,19,86,92,Biology,131,50.3,Coding,Baking,Food Presentation,Music,No,No suitable match
ROKHANULDIN HILAL,Female,17,72,85,Biology,90,79.1,Problem Solving,Food Presentation,Sports Skills,Creativity,Yes,No suitable match
SHOBHA,Male,19,91,91,Biology,98,89.5,Discipline,Determination,Painting,Food Presentation,Yes,No suitable match
MAISAM ZULFIQARI,Male,17,88,95,Maths,94,68.9,Photography,Physical Fitness,Attention to Detail,Sculpting,No,No suitable match
